gene,UMAP1,UMAP2,cluster
ALYREF,7.7886024,1.3587865,217
AMACR,-4.780759,5.0765653,378
AMBN,6.1015906,3.1797974,405
AMBP,0.11323409,3.1078854,406
AMBRA1,7.595288,11.231127,407
AMD1,5.558661,-0.61179566,408
AMDHD1,3.4892652,7.4981985,409
AMDHD2,-1.3035685,9.876162,410
AMER2,11.728408,-5.218833,291
AMFR,-3.9535627,1.0847346,411
AMH,9.05738,5.183218,412
AMIGO1,-4.371643,7.786898,413
AMIGO2,-6.8109307,-0.6106457,414
AMMECR1,-0.17137915,5.8027196,187
AMN,0.17112495,13.134393,206
AMN1,11.421983,3.225691,415
AMOT,7.063935,14.054962,416
AMOTL1,-4.64164,-0.22399522,417
AMOTL2,-6.454305,-1.4130491,418
AMPD1,7.1709566,6.53053,14
AMPD2,1.4113563,3.3485975,419
AMPD3,4.560863,5.819869,420
AMPH,1.6753722,-6.177177,197
AMT,7.2664394,6.615585,421
AMTN,0.32626942,2.4625864,422
AMZ1,8.154146,-7.0133696,423
ANAPC1,9.589253,9.057134,424
ANAPC10,13.389785,2.0911784,425
ANAPC13,0.47456974,3.4397342,426
ANAPC15,5.976677,0.47504503,427
ANAPC2,7.1143694,3.6332898,428
ANAPC7,9.546947,9.085831,424
ANG,-4.057361,-1.2785182,429
ANGEL1,10.065068,12.5410385,430
ANGPT1,7.1176214,-0.21239613,431
ANGPT2,13.270322,10.223845,432
ANGPTL1,-1.5127754,2.5512307,100
ANGPTL2,4.739431,1.0005498,433
ANGPTL4,-6.9960375,-2.2633517,434
ANGPTL5,-1.6077582,2.1202595,435
ANGPTL6,13.594658,-1.6744833,436
ANHX,5.9394994,7.623865,25
ANK1,3.6461806,0.63000965,437
ANK2,9.140855,-6.7501936,438
ANK3,0.8669393,5.906891,439
ANKDD1A,4.553763,0.47971258,440
ANKEF1,0.3891148,14.719667,441
ANKFY1,4.9339046,-0.39077634,340
ANKH,6.1715846,-5.5618,442
ANKHD1,9.494791,1.822162,213
ANKIB1,-2.2251647,6.301462,443
