Models,Expression.only.CV.cor,Multiomics.CV.cor
MAP2K1,0.321646814,0.378422604
ACSL4,0.399896377,0.378415915
GTF2H5,0.389067914,0.378003056
GGNBP2,0.38012923,0.37752916
MAT2A,0.345976386,0.3775198
ORC5,0.397875635,0.377305225
SLC20A1,0.388055126,0.377234642
EXOC4,0.358474987,0.376802704
TAZ,0.335300975,0.376502353
MPDU1,0.373162301,0.376499631
RINT1,0.38209128,0.376428285
MEPCE,0.366713976,0.376224595
METTL3,0.333145074,0.375860954
ZFR,0.347740847,0.375770461
EMC7,0.346568792,0.375738758
RBM33,0.343302151,0.37573016
PDCD6,0.321196902,0.375648523
ALG9,0.409661513,0.375632461
ANLN,0.380235954,0.375150282
CFDP1,0.34061455,0.375059643
VBP1,0.415182582,0.374950789
DOCK7,0.393290355,0.374911822
MBTPS2,0.396304927,0.374673318
POMP,0.377963024,0.37448398
NOLC1,0.355873809,0.374272582
CCNT1,0.355853567,0.373557046
CLSPN,0.298035453,0.373277164
ALG3,0.381996355,0.373177289
GABPB1,0.340180957,0.372952893
ARF1,0.309973546,0.372821646
AP2S1,0.373113549,0.372444381
ZBTB18,0.41784305,0.372089412
ATP6V1C1,0.327817855,0.372064292
DDX5,0.340063018,0.372009178
CDIPT,0.34544723,0.371909965
CD2BP2,0.344438692,0.371819535
TBP,0.246693594,0.371667024
RPL36A,0.36346449,0.371371989
SMCHD1,0.333846389,0.371214611
DSN1,0.260585099,0.370922701
RBM15,0.387187827,0.370813064
IKZF3,0.400008967,0.370582628
DNTTIP2,0.331015333,0.370263917
USP37,0.347225976,0.370140063
GTF2H1,0.312568245,0.369853579
GLMN,0.384455289,0.369695615
COASY,0.362644306,0.369612011
NUP160,0.422185038,0.369436066
USP8,0.324355438,0.368682193
RBM27,0.351459357,0.368526629
URB2,0.297953288,0.367563572
E4F1,0.299104377,0.367518698
MED20,0.354958212,0.367451009
AP2M1,0.35357943,0.367438869
AMBRA1,0.324958263,0.367312041
NAPA,0.393416878,0.367216059
SUGP1,0.229217581,0.36709742
METAP2,0.333780021,0.366942128
PEA15,0.344684382,0.366754763
ITPK1,0.348494284,0.366411449
KCTD10,0.369998803,0.366348787
DPM3,0.363245014,0.366300171
SLC4A7,0.391470647,0.366209636
MED31,0.300340471,0.366174456
FOXK1,0.342891395,0.365881013
TMEM41B,0.30918844,0.36581782
OXSR1,0.410613849,0.365317399
UBE2J1,0.384052369,0.365017128
ARHGAP11A,0.322677754,0.364818885
METTL14,0.320530458,0.364812051
ZNF131,0.317320184,0.36475546
ALG8,0.385494931,0.364736887
NUP107,0.23601235,0.36433391
CD3EAP,0.386871543,0.364285558
MYBBP1A,0.302748945,0.363766928
SLC25A3,0.33205713,0.363604869
TCOF1,0.298364344,0.363503201
MCPH1,0.338243493,0.363315034
WSB1,0.371246429,0.363272944
ADAR,0.375077863,0.362777913
SEC63,0.344364872,0.362498614
TSEN2,0.439758655,0.362418101
COG3,0.324531362,0.362381995
TRIO,0.371700931,0.362307039
VARS2,0.365687302,0.362249833
RPS5,0.31434854,0.36084654
ATRIP,0.319085092,0.360839777
TP53BP2,0.363944917,0.360706742
FDFT1,0.409915127,0.360440103
YY1,0.347880211,0.36010122
CCDC130,0.3558117,0.359732437
DCTN2,0.271751748,0.359591368
REV3L,0.303167907,0.35954303
RRP1,0.279146706,0.359528309
MED16,0.333762826,0.359430365
DGCR8,0.295670327,0.35920151
ALG12,0.340935764,0.359032164
